Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +
2015,Churchill Meadows/Erin Mills,"1,269",875,997,"1,181","1,585"
2015,Church-Yonge Corridor,"1,319","1,056","1,343","1,739",**
2015,Clairlea-Birchmount,"1,003",847,928,"1,114",**
2015,Clanton Park,"1,074",813,990,"1,212",**
2015,Clarkson/Lorne Park,"1,119",838,"1,013","1,160","1,265"
2015,Cliffcrest,"1,058",**,971,"1,085","1,292"
2015,Cooksville,"1,145",837,"1,037","1,232","1,345"
2015,Crescent Town,"1,041",767,950,"1,196","1,453"
2015,Danforth Village-East York,979,800,931,"1,143",**
2015,Don Valley Village/Pleasant View,"1,256",842,"1,082","1,262","1,437"
2015,Dorset Park,"1,054",792,944,"1,088","1,268"
2015,Dovercourt/Davenport/Junction,"1,147",938,"1,066","1,299",**
2015,Downsview,"1,033",781,903,"1,078","1,295"
2015,Dufferin Grove/Little Portugal,"1,042",688,987,"1,389",**
2015,East End-Danforth,"1,047",849,990,"1,151",**
2015,East Gwillimbury/Newmarket,"1,082",696,"1,040","1,169","1,276"
2015,Edenbridge-Humber Valley,"1,175",952,"1,002","1,216","1,753"
2015,Eglinton East,"1,045",874,911,"1,056","1,256"
2015,Elms-Old Rexdale,"1,204",**,974,"1,208","1,344"
2015,Englemount-Lawrence,"1,142",741,998,"1,187","1,480"
2015,Eringate-Centennial-West Deane,"1,176",**,**,"1,162",**
2015,Etobicoke West Mall,"1,219",**,"1,026","1,235","1,412"
2015,Flemingdon Park,"1,131",**,985,"1,181","1,417"
2015,Forest Hill North,"1,315",919,"1,163","1,461","1,887"
2015,Forest Hill South,"1,238",902,"1,116","1,456",**
2015,Georgina,776,**,760,778,**
2015,Guildwood,**,**,**,**,**
2015,Henry Farm,"1,329",**,"1,168","1,343","1,545"
2015,High Park North/Junction,"1,371",928,"1,246","1,679","2,088"
2015,High Park-Swansea,"1,251",713,"1,203","1,307",**
2015,Humber Heights-Westmount,"1,299",**,"1,115","1,339","1,443"
2015,Humewood-Cedarvale,"1,297",843,"1,167","1,645",**
2015,Ionview,"1,015",798,935,"1,092","1,223"
2015,Islington/City Centre North,"1,291","1,097","1,213","1,323","1,448"
2015,Islington/City Centre South,"1,176",974,"1,029","1,246","1,324"
2015,Keelesdale-Eglinton West,890,826,860,974,**
2015,Kennedy Park,"1,006",743,919,"1,064",**
2015,Kensington-Chinatown,"1,380",**,**,**,**
2015,Kingsview Village-The Westway,"1,171",**,"1,023","1,193","1,374"
2015,Kingsway South,**,**,**,**,**
2015,Lambton Baby Point,"1,051",751,954,"1,171",**
2015,L'Amoreaux/Steeles/Milliken,"1,133",**,"1,027","1,193","1,383"
2015,Lansing-Westgate,"1,329",**,"1,224","1,393","1,531"
2015,Lawrence Park North,"1,435",938,"1,221","1,753",**
2015,Lawrence Park South,"1,351",939,"1,237","1,565",**
2015,Leaside-Bennington,"1,258",885,"1,160","1,449",**
2015,Little Italy/Trinity-Bellwoods,"1,397",773,"1,042","1,614",**
2015,Long Branch,949,689,890,"1,034",**
2015,Malton,"1,088",**,852,"1,133","1,203"
2015,Maple Leaf,"1,065",790,988,"1,098","1,268"
2015,Markham,"1,197",**,"1,092","1,257","1,401"
2015,Meadowvale,"1,362",**,"1,227","1,398","1,524"
2015,Milton/Halton Hills,"1,095",723,996,"1,151","1,433"
2015,Mimico,981,770,961,"1,081","1,554"
2015,Mississauga Centre/Streetsville,"1,257",842,"1,106","1,277","1,497"
2015,Moore Park,"1,576","1,125","1,440","2,073",**
2015,Morningside,"1,018",**,927,"1,043","1,239"
2015,Moss Park/Regent Park,"1,102",796,"1,100","1,469",**
2015,Mount Dennis,"1,064",756,992,"1,099",**
2015,Mount Olive-Silverstone-Jamestown/Thistletown,"1,160",**,996,"1,129","1,254"
2015,Mount Pleasant East,"1,305",982,"1,225","1,545","1,876"
2015,Mount Pleasant West,"1,337","1,019","1,294","1,656","2,115"
2015,New Toronto,856,**,807,968,**
2015,North St. James Town,"1,143",908,"1,156","1,295",**
2015,Oakridge,**,**,**,**,**
2015,Oakville (excl. Bronte),"1,297",933,"1,151","1,340","1,544"
2015,Oakwood-Vaughan,971,740,937,"1,157",**
2015,O'Connor-Parkview,"1,093",812,937,"1,169","1,479"
2015,Old East York,"1,000",837,960,"1,153",**
2015,Orangeville/Mono,990,**,923,"1,048","1,130"
2015,Parkwoods-Donalda,"1,237",913,"1,056","1,237","1,463"
2015,Playter Estates-Danforth,"1,159",911,"1,108","1,385",**
2015,Port Credit,"1,145",820,"1,032","1,224","1,474"
2015,Princess-Rosethorn,**,**,**,**,**
2015,Rexdale-Kipling,"1,071",679,927,"1,039","1,212"
2015,Richmond Hill/Vaughan/King,"1,262",900,"1,148","1,343","1,538"
2015,Riverdale,**,**,**,**,**
2015,Rockcliffe-Smythe,966,747,872,"1,042","1,096"
2015,Roncesvalles,"1,226",**,"1,067","1,440",**
2015,Rosedale,**,**,"1,422","2,095",**
2015,Rouge,"1,088",**,**,"1,079","1,212"
2015,Rustic/Pelmo Park/Humberlea,"1,025",**,904,"1,076",**
2015,Scarborough Village,"1,064",**,945,"1,065","1,264"
2015,South Parkdale/King West,"1,038",867,"1,037","1,224",**
2015,St. Andrew-Windfields,"1,371",823,"1,131","1,362","1,758"
2015,Stonegate-Queensway,"1,029",852,972,"1,084",**
2015,Tam O'Shanter-Sullivan,"1,116",847,"1,010","1,148","1,361"
2015,The Beaches,"1,232",890,"1,131","1,513","1,923"
2015,Thorncliffe Park,"1,214",904,"1,030","1,298","1,709"
2015,University/Annex,"1,436","1,068","1,403","1,973",**
2015,Uxbridge,"1,117",**,"1,016","1,195",**
2015,Victoria Village,"1,104",849,"1,004","1,187","1,424"
2015,Waterfront Communities -The Island,"1,676",**,"1,583","1,791",**
2015,West Hill,"1,052",765,933,"1,060","1,178"
2015,West Humber-Clairville,"1,137",737,891,"1,056","1,469"
2015,Westminster-Branson,"1,299",867,"1,129","1,333","1,490"
2015,Weston,"1,045",791,970,"1,148","1,283"
2015,Wexford-Maryvale,993,796,917,"1,078","1,165"
2015,Whitchurch/Stouffville,"1,098",**,"1,080","1,107",**
2015,Willowdale East/Newtonbrook East,"1,709",**,"1,425","1,785","2,318"
2015,Willowdale West/Newtonbrook West,"1,298",**,"1,175","1,346","1,577"
2015,Willowridge-Martingrove-Richview,"1,458",**,"1,144","1,468","1,681"
2015,Woburn,"1,103",818,"1,002","1,116","1,255"
2015,Woodbine Corridor/Greenwood-Coxwell,"1,087",**,"1,042","1,262",**
2015,Woodbine-Lumsden,**,**,**,**,**
2015,Wychwood,"1,039",769,"1,133",**,**
2015,Yonge-Eglinton,"1,278","1,001","1,216","1,616",**
2015,Yonge-St. Clair,"1,431","1,029","1,304","1,801",**
2015,Yorkdale-Glen Park,"1,123",**,"1,030","1,209",**
2015,Toronto,"1,208",937,"1,103","1,286","1,516"
2014,Agincourt/Malvern,"1,140",**,993,"1,119","1,337"
2014,Ajax/Pickering,"1,142",**,880,"1,094","1,254"
2014,Alderwood,"1,060",**,774,"1,172",**
2014,Aurora,"1,214",**,"1,036","1,228",**
2014,Banbury-Don Mills/York Mills,"1,200",730,"1,056","1,265","1,620"
2014,Bathurst Manor,"1,156",802,"1,035","1,158","1,383"
2014,Bay Street Corridor,"1,752","1,244","1,602","2,162",**
2014,Bayview Village,"1,330",**,"1,176","1,413",**
2014,Bayview Woods-Steeles/Hillcrest Village,**,**,**,**,**
2014,Bedford Park-Nortown,"1,201",822,"1,047","1,384","1,876"
2014,Beechborough-Greenbrook,940,718,847,"1,020",**
2014,Bendale,"1,063",781,906,"1,051","1,176"
2014,Birchcliffe-Cliffside,"1,055",824,"1,006","1,119",**
2014,Black Creek,"1,071",**,912,"1,066","1,288"
2014,Bradford/West Gwillimbury/New Tecumseth,979,794,880,"1,020","1,325"
2014,Brampton (East),"1,258","1,005","1,162","1,278","1,353"
2014,Brampton (West),"1,103",745,961,"1,128","1,388"
2014,Briar Hill-Belgravia,"1,045",690,929,"1,211",**
2014,Broadview North,"1,029",839,980,"1,212",**
2014,Bronte,"1,289",**,"1,159","1,360",**
2014,Brookhaven-Amesbury,"1,009",721,876,"1,025","1,292"
2014,Cabbagetown-South St. James Town,"1,230",838,"1,173","1,659",**
2014,Caledon,"1,003",**,977,"1,017",**
2014,Caledonia-Fairbank,960,795,888,"1,040",**
2014,Casa Loma,"1,671",950,"1,299","1,886","3,081"
2014,Churchill Meadows/Erin Mills,"1,215",868,968,"1,144","1,533"
2014,Church-Yonge Corridor,"1,307","1,041","1,315","1,675",**
2014,Clairlea-Birchmount,957,830,894,"1,042",**
2014,Clanton Park,977,743,914,"1,098",**
2014,Clarkson/Lorne Park,"1,117",845,"1,024","1,148","1,262"
2014,Cliffcrest,"1,024",755,923,"1,070","1,277"
2014,Cooksville,"1,098",788,"1,000","1,173","1,338"
2014,Crescent Town,995,766,918,"1,122","1,372"
2014,Danforth Village-East York,969,809,907,"1,117",**
2014,Don Valley Village/Pleasant View,"1,205",791,"1,035","1,192","1,406"
2014,Dorset Park,"1,054",768,921,"1,085","1,254"
2014,Dovercourt/Davenport/Junction,"1,143",865,"1,010","1,300",**
2014,Downsview,"1,009",756,876,"1,059","1,272"
2014,Dufferin Grove/Little Portugal,984,863,"1,005",**,**
2014,East End-Danforth,"1,026",768,"1,008","1,131",**
2014,East Gwillimbury/Newmarket,"1,052",703,"1,026","1,114","1,207"
2014,Edenbridge-Humber Valley,"1,151",972,965,"1,201","1,615"
2014,Eglinton East,"1,024",851,890,"1,033","1,182"
2014,Elms-Old Rexdale,"1,156",**,910,"1,131","1,313"
2014,Englemount-Lawrence,"1,121",692,954,"1,170","1,465"
2014,Eringate-Centennial-West Deane,"1,191",**,**,"1,144","1,396"
2014,Etobicoke West Mall,"1,214",**,"1,031","1,214","1,395"
2014,Flemingdon Park,"1,102",**,945,"1,165","1,410"
2014,Forest Hill North,"1,299",878,"1,127","1,464","1,994"
2014,Forest Hill South,"1,297",897,"1,125","1,524",**
2014,Georgina,920,**,786,931,**
2014,Guildwood,"1,179",**,**,**,"1,533"
2014,Henry Farm,"1,288",**,"1,148","1,290","1,500"
2014,High Park North/Junction,"1,308",939,"1,240","1,630","2,065"
2014,High Park-Swansea,"1,259",790,"1,094","1,404",**
2014,Humber Heights-Westmount,"1,173",**,"1,049","1,200",**
2014,Humewood-Cedarvale,"1,283",809,"1,107","1,665",**
2014,Ionview,978,760,897,"1,041","1,285"
2014,Islington/City Centre North,"1,287","1,161","1,215","1,349","1,370"
2014,Islington/City Centre South,"1,153",957,984,"1,218","1,272"
2014,Keelesdale-Eglinton West,849,**,801,970,**
2014,Kennedy Park,945,700,884,978,"1,135"
2014,Kensington-Chinatown,"1,326","1,066","1,285","1,677",**
2014,Kingsview Village-The Westway,"1,127",810,"1,002","1,147","1,326"
2014,Kingsway South,"1,261",950,"1,162","1,364",**
2014,Lambton Baby Point,967,683,977,968,**
2014,L'Amoreaux/Steeles/Milliken,"1,108",**,992,"1,159","1,312"
2014,Lansing-Westgate,"1,197",**,"1,072","1,248","1,472"
2014,Lawrence Park North,"1,200",850,"1,143","1,465",**
2014,Lawrence Park South,"1,277",922,"1,178","1,518",**
2014,Leaside-Bennington,"1,218",868,"1,116","1,397",**
2014,Little Italy/Trinity-Bellwoods,"1,370",**,"1,062","1,550",**
2014,Long Branch,923,**,868,991,**
2014,Malton,"1,008",**,839,**,**
2014,Maple Leaf,"1,023",799,906,"1,065","1,328"
2014,Markham,"1,145",**,"1,031","1,191","1,617"
2014,Meadowvale,"1,324",**,"1,193","1,380","1,458"
2014,Milton/Halton Hills,"1,062",711,963,"1,121","1,420"
2014,Mimico,946,749,894,"1,049","1,498"
2014,Mississauga Centre/Streetsville,"1,233",838,"1,095","1,244","1,469"
2014,Moore Park,"1,638",**,"1,421","1,907",**
2014,Morningside,958,**,879,981,"1,161"
2014,Moss Park/Regent Park,954,705,939,"1,363",**
2014,Mount Dennis,"1,053",729,938,"1,120",**
2014,Mount Olive-Silverstone-Jamestown/Thistletown,"1,137",**,955,"1,081","1,256"
2014,Mount Pleasant East,"1,252",924,"1,197","1,504",**
2014,Mount Pleasant West,"1,275",974,"1,243","1,573","1,975"
2014,New Toronto,879,**,801,967,**
2014,North St. James Town,"1,146",939,"1,130","1,277",**
2014,Oakridge,**,**,**,**,**
2014,Oakville (excl. Bronte),"1,264",918,"1,122","1,299","1,490"
2014,Oakwood-Vaughan,941,729,894,"1,110",**
2014,O'Connor-Parkview,"1,039",735,903,"1,122","1,433"
2014,Old East York,980,724,930,"1,145",**
2014,Orangeville/Mono,994,865,934,"1,048","1,072"
2014,Parkwoods-Donalda,"1,185",787,"1,002","1,184","1,407"
2014,Playter Estates-Danforth,"1,123",819,"1,111","1,464",**
2014,Port Credit,"1,074",785,981,"1,140","1,406"
2014,Princess-Rosethorn,**,**,**,**,**
2014,Rexdale-Kipling,985,634,872,995,"1,088"
2014,Richmond Hill/Vaughan/King,"1,207",877,"1,081","1,297","1,521"
2014,Riverdale,"1,134",853,"1,110","1,400",**
2014,Rockcliffe-Smythe,959,710,888,"1,021","1,198"
2014,Roncesvalles,942,**,889,**,**
2014,Rosedale,"1,869",**,"1,479","1,951",**
2014,Rouge,"1,068",**,**,"1,057","1,192"
2014,Rustic/Pelmo Park/Humberlea,"1,012",**,904,"1,048","1,302"
2014,Scarborough Village,"1,010",**,898,"1,022","1,167"
2014,South Parkdale/King West,925,738,945,"1,161",**
2014,St. Andrew-Windfields,"1,297",799,"1,073","1,291","1,649"
2014,Stonegate-Queensway,"1,013",849,926,"1,072",**
2014,Tam O'Shanter-Sullivan,"1,078",819,976,"1,113","1,325"
2014,The Beaches,"1,139",815,"1,044","1,439",**
2014,Thorncliffe Park,"1,190",846,"1,012","1,270","1,681"
2014,University/Annex,"1,406",959,"1,305","1,855",**
2014,Uxbridge,"1,094",**,981,"1,179",**
2014,Victoria Village,936,741,863,"1,024",**
2014,Waterfront Communities -The Island,"2,026",**,"1,699","2,458",**
2014,West Hill,"1,008",769,892,994,"1,184"
2014,West Humber-Clairville,"1,029",735,892,"1,014",**
2014,Westminster-Branson,"1,216",844,"1,052","1,248","1,409"
2014,Weston,"1,041",793,971,"1,143",**
2014,Wexford-Maryvale,968,772,893,"1,034","1,157"
2014,Whitchurch/Stouffville,"1,080",**,"1,050","1,101",**
2014,Willowdale East/Newtonbrook East,"1,527",**,"1,342","1,659","2,113"
2014,Willowdale West/Newtonbrook West,"1,245",**,"1,131","1,314","1,516"
2014,Willowridge-Martingrove-Richview,"1,397",**,"1,110","1,418","1,609"
2014,Woburn,"1,050",758,938,"1,061","1,218"
2014,Woodbine Corridor/Greenwood-Coxwell,950,**,917,"1,011",**
2014,Woodbine-Lumsden,**,**,**,**,**
2014,Wychwood,"1,105",807,"1,096",**,**
2014,Yonge-Eglinton,"1,254",990,"1,215","1,620",**
2014,Yonge-St. Clair,"1,428",989,"1,264","1,746",**
2014,Yorkdale-Glen Park,"1,057",**,966,"1,141","1,233"
2014,Toronto,"1,170",896,"1,067","1,251","1,466"
2013,Agincourt/Malvern,"1,182",**,"1,017","1,171","1,392"
2013,Ajax/Pickering,"1,110",**,819,"1,027","1,247"
2013,Alderwood,"1,047",**,803,"1,146",**
2013,Aurora,"1,144",**,"1,002","1,190","1,329"
2013,Banbury-Don Mills/York Mills,"1,001",700,924,"1,084","1,157"
2013,Bathurst Manor,"1,181",732,"1,035","1,211","1,401"
2013,Bay Street Corridor,"2,048","1,314","1,872","2,289","5,315"
2013,Bayview Village,"1,449",**,"1,200","1,448",**
2013,Bayview Woods-Steeles/Hillcrest Village,"1,920",**,"1,541","1,901","2,193"
2013,Bedford Park-Nortown,"1,019",810,931,"1,145",**
2013,Beechborough-Greenbrook,886,717,821,953,**
2013,Bendale,"1,062",761,915,"1,056","1,185"
2013,Birchcliffe-Cliffside,978,803,896,"1,053",**
2013,Black Creek,"1,043",743,895,"1,031","1,273"
2013,Bradford/West Gwillimbury/New Tecumseth,962,779,865,"1,009","1,186"
2013,Brampton (East),"1,184",871,"1,074","1,204","1,331"
2013,Brampton (West),"1,076",693,963,"1,101","1,346"
2013,Briar Hill-Belgravia,"1,126",730,981,"1,230","1,473"
2013,Broadview North,"1,007",812,961,"1,190",**
2013,Bronte,"1,237",**,"1,126","1,299",**
2013,Brookhaven-Amesbury,989,716,859,"1,037","1,268"
2013,Cabbagetown-South St. James Town,"1,187",857,"1,153",**,**
2013,Caledon,**,**,**,**,**
2013,Caledonia-Fairbank,913,709,860,"1,012",**
2013,Casa Loma,"1,472",895,"1,186","1,683","2,805"
2013,Churchill Meadows/Erin Mills,"1,210",818,934,"1,102","1,491"
2013,Church-Yonge Corridor,"1,209",973,"1,221","1,611",**
2013,Clairlea-Birchmount,932,810,874,"1,015","1,250"
2013,Clanton Park,915,740,871,"1,017",**
2013,Clarkson/Lorne Park,"1,113",803,"1,013","1,146","1,261"
2013,Cliffcrest,"1,011",**,928,"1,034","1,257"
2013,Cooksville,"1,077",793,981,"1,153","1,281"
2013,Crescent Town,970,742,898,"1,076","1,339"
2013,Danforth Village-East York,948,709,897,"1,064",**
2013,Don Valley Village/Pleasant View,"1,184",836,"1,032","1,183","1,345"
2013,Dorset Park,997,776,893,"1,023","1,176"
2013,Dovercourt/Davenport/Junction,"1,017",**,824,"1,310",**
2013,Downsview,966,697,854,"1,008","1,205"
2013,Dufferin Grove/Little Portugal,960,716,954,"1,328",**
2013,East End-Danforth,"1,014",750,984,"1,181",**
2013,East Gwillimbury/Newmarket,"1,009",741,975,"1,054","1,259"
2013,Edenbridge-Humber Valley,"1,146",974,952,"1,183","1,593"
2013,Eglinton East,990,830,853,"1,009","1,186"
2013,Elms-Old Rexdale,"1,176",**,913,"1,181","1,283"
2013,Englemount-Lawrence,"1,090",771,946,"1,140","1,403"
2013,Eringate-Centennial-West Deane,"1,122",**,**,"1,111",**
2013,Etobicoke West Mall,"1,156",**,986,"1,170","1,314"
2013,Flemingdon Park,"1,066",**,938,"1,107","1,370"
2013,Forest Hill North,"1,249",815,"1,084","1,384","1,923"
2013,Forest Hill South,"1,252",883,"1,084","1,516","1,946"
2013,Georgina,810,**,750,795,**
2013,Guildwood,"1,168",**,994,"1,213","1,489"
2013,Henry Farm,"1,217",**,"1,078","1,217","1,461"
2013,High Park North/Junction,"1,247",914,"1,179","1,574","2,079"
2013,High Park-Swansea,"1,110",695,"1,064","1,253",**
2013,Humber Heights-Westmount,"1,151",**,985,"1,145","1,338"
2013,Humewood-Cedarvale,"1,215",774,"1,064","1,532",**
2013,Ionview,949,756,880,"1,010","1,153"
2013,Islington/City Centre North,"1,229","1,079","1,143","1,277","1,412"
2013,Islington/City Centre South,"1,142",950,**,"1,202",**
2013,Keelesdale-Eglinton West,847,704,810,908,**
2013,Kennedy Park,933,745,871,994,**
2013,Kensington-Chinatown,"1,394",**,**,"1,723",**
2013,Kingsview Village-The Westway,"1,093",**,959,"1,112","1,303"
2013,Kingsway South,"1,283",850,"1,097","1,434",**
2013,Lambton Baby Point,927,682,921,972,**
2013,L'Amoreaux/Steeles/Milliken,"1,115",**,"1,001","1,166","1,307"
2013,Lansing-Westgate,"1,273",**,"1,155","1,343","1,499"
2013,Lawrence Park North,"1,202",845,"1,064","1,467",**
2013,Lawrence Park South,"1,337",921,"1,198","1,646",**
2013,Leaside-Bennington,"1,180",814,"1,036","1,419","1,910"
2013,Little Italy/Trinity-Bellwoods,**,730,**,"1,202",**
2013,Long Branch,901,**,852,977,**
2013,Malton,"1,058",**,813,"1,102","1,155"
2013,Maple Leaf,978,777,873,"1,029","1,271"
2013,Markham,"1,128",773,"1,029","1,183","1,333"
2013,Meadowvale,"1,306",**,"1,181","1,343","1,426"
2013,Milton/Halton Hills,"1,030",703,929,"1,090","1,377"
2013,Mimico,950,725,886,"1,047","1,480"
2013,Mississauga Centre/Streetsville,"1,197",842,"1,050","1,200","1,451"
2013,Moore Park,"1,439","1,003","1,307","1,876",**
2013,Morningside,962,**,868,986,"1,191"
2013,Moss Park/Regent Park,959,713,947,"1,326",**
2013,Mount Dennis,940,758,848,984,**
2013,Mount Olive-Silverstone-Jamestown/Thistletown,"1,097",**,947,"1,085","1,194"
2013,Mount Pleasant East,"1,201",876,"1,137","1,454","1,644"
2013,Mount Pleasant West,"1,262",969,"1,223","1,568","2,093"
2013,New Toronto,886,**,829,989,**
2013,North St. James Town,"1,057",867,993,"1,218","1,547"
2013,Oakridge,964,768,917,"1,122",**
2013,Oakville (excl. Bronte),"1,221",891,"1,091","1,269","1,427"
2013,Oakwood-Vaughan,924,724,863,"1,103",**
2013,O'Connor-Parkview,998,**,844,"1,076","1,420"
2013,Old East York,937,708,891,"1,114",**
2013,Orangeville/Mono,946,784,891,"1,000","1,026"
2013,Parkwoods-Donalda,"1,177",801,990,"1,173","1,408"
2013,Playter Estates-Danforth,"1,107",839,"1,081","1,408",**
2013,Port Credit,"1,024",769,927,"1,078","1,358"
2013,Princess-Rosethorn,**,**,**,**,**
2013,Rexdale-Kipling,"1,023",628,865,"1,013","1,181"
2013,Richmond Hill/Vaughan/King,"1,160",870,"1,046","1,235","1,463"
2013,Riverdale,"1,028",801,"1,017","1,135",**
2013,Rockcliffe-Smythe,925,694,850,"1,002","1,201"
2013,Roncesvalles,**,**,**,**,**
2013,Rosedale,"1,903",**,"1,375","1,785",**
2013,Rouge,"1,061",**,**,"1,069","1,199"
2013,Rustic/Pelmo Park/Humberlea,"1,030",**,916,"1,052","1,283"
2013,Scarborough Village,"1,002",**,891,"1,011","1,134"
2013,South Parkdale/King West,927,752,951,"1,131",**
2013,St. Andrew-Windfields,"1,306",815,"1,077","1,272","1,763"
2013,Stonegate-Queensway,963,785,913,"1,022",**
2013,Tam O'Shanter-Sullivan,"1,075",813,968,"1,109","1,310"
2013,The Beaches,"1,161",775,"1,075","1,385",**
2013,Thorncliffe Park,"1,186",836,"1,007","1,262","1,657"
2013,University/Annex,"1,417","1,045","1,324","1,794",**
2013,Uxbridge,"1,273",**,982,"1,440","1,799"
2013,Victoria Village,"1,034",729,932,"1,121","1,410"
2013,Waterfront Communities -The Island,"1,803",**,"1,524","2,275",**
2013,West Hill,977,**,885,987,"1,059"
2013,West Humber-Clairville,"1,039",779,871,996,**
2013,Westminster-Branson,"1,232",800,"1,056","1,251","1,410"
2013,Weston,948,731,851,"1,080","1,335"
2013,Wexford-Maryvale,955,765,877,"1,021","1,201"
2013,Whitchurch/Stouffville,"1,030",**,"1,002","1,050",**
2013,Willowdale East/Newtonbrook East,"1,685",**,"1,429","1,710","2,258"
2013,Willowdale West/Newtonbrook West,"1,204",**,"1,053","1,282","1,524"
2013,Willowridge-Martingrove-Richview,"1,381",**,"1,095","1,403","1,603"
2013,Woburn,"1,008",780,908,"1,026","1,169"
2013,Woodbine Corridor/Greenwood-Coxwell,917,692,922,"1,129",**
2013,Woodbine-Lumsden,"1,050",**,951,"1,130",**
2013,Wychwood,974,784,959,**,**
2013,Yonge-Eglinton,"1,249",963,"1,171","1,630",**
2013,Yonge-St. Clair,"1,364",954,"1,216","1,664","2,795"
2013,Yorkdale-Glen Park,982,**,860,997,**
2013,Toronto,"1,138",873,"1,032","1,211","1,461"
2012,Agincourt/Malvern,"1,158",**,988,"1,148","1,351"
2012,Ajax/Pickering,"1,116",**,**,"1,050","1,178"
2012,Alderwood,"1,133",**,938,"1,155",**
2012,Aurora,"1,102",**,989,"1,156",**
2012,Banbury-Don Mills/York Mills,"1,131",828,991,"1,189","1,572"
2012,Bathurst Manor,"1,111",**,990,"1,126","1,282"
2012,Bay Street Corridor,"1,945","1,280","1,763","2,262","4,500"
2012,Bayview Village,"1,398",**,"1,181","1,409",**
2012,Bayview Woods-Steeles/Hillcrest Village,**,**,**,**,**
2012,Bedford Park-Nortown,"1,097",766,951,"1,274","1,655"
2012,Beechborough-Greenbrook,878,716,801,951,**
2012,Bendale,990,720,873,985,"1,109"
2012,Birchcliffe-Cliffside,"1,003",754,931,"1,094",**
2012,Black Creek,"1,013",743,873,"1,004","1,219"
2012,Bradford/West Gwillimbury/New Tecumseth,955,742,855,"1,008","1,258"
2012,Brampton (East),"1,157",843,"1,051","1,180","1,308"
2012,Brampton (West),"1,050",718,943,"1,081","1,276"
2012,Briar Hill-Belgravia,"1,072",670,964,"1,148","1,325"
2012,Broadview North,966,763,918,"1,144",**
2012,Bronte,"1,217",**,"1,113","1,272",**
2012,Brookhaven-Amesbury,952,709,839,989,"1,260"
2012,Cabbagetown-South St. James Town,"1,136",776,"1,094",**,**
2012,Caledon,**,**,**,**,**
2012,Caledonia-Fairbank,904,763,847,979,**
2012,Casa Loma,"1,390",888,"1,168","1,557","2,715"
2012,Churchill Meadows/Erin Mills,"1,180",813,930,"1,087","1,416"
2012,Church-Yonge Corridor,"1,214",940,"1,216","1,611",**
2012,Clairlea-Birchmount,948,**,879,991,"1,193"
2012,Clanton Park,986,751,915,"1,098","1,250"
2012,Clarkson/Lorne Park,"1,107",790,985,"1,146","1,345"
2012,Cliffcrest,996,770,912,"1,025","1,248"
2012,Cooksville,"1,060",769,970,"1,127","1,254"
2012,Crescent Town,944,736,863,"1,071","1,312"
2012,Danforth Village-East York,913,691,853,"1,035",**
2012,Don Valley Village/Pleasant View,"1,120",851,956,"1,131","1,286"
2012,Dorset Park,983,746,877,"1,017","1,172"
2012,Dovercourt/Davenport/Junction,"1,104",**,843,"1,238",**
2012,Downsview,946,679,841,988,"1,172"
2012,Dufferin Grove/Little Portugal,"1,059",737,"1,039",**,**
2012,East End-Danforth,975,767,936,"1,105",**
2012,East Gwillimbury/Newmarket,980,615,951,"1,030","1,276"
2012,Edenbridge-Humber Valley,"1,018",741,896,"1,054","1,522"
2012,Eglinton East,981,812,843,"1,004","1,165"
2012,Elms-Old Rexdale,"1,159",**,954,"1,146","1,253"
2012,Englemount-Lawrence,"1,128",730,956,"1,147","1,441"
2012,Eringate-Centennial-West Deane,"1,099",**,**,"1,107",**
2012,Etobicoke West Mall,"1,151",**,976,"1,130","1,400"
2012,Flemingdon Park,"1,036",**,899,"1,079","1,350"
2012,Forest Hill North,"1,205",807,"1,040","1,339","1,769"
2012,Forest Hill South,"1,204",816,"1,077","1,408",**
2012,Georgina,846,**,726,856,**
2012,Guildwood,"1,127",**,994,"1,144","1,409"
2012,Henry Farm,"1,120",**,994,"1,115","1,357"
2012,High Park North/Junction,"1,300",945,"1,203","1,560","1,929"
2012,High Park-Swansea,"1,040",715,979,"1,259",**
2012,Humber Heights-Westmount,**,**,**,**,**
2012,Humewood-Cedarvale,"1,141",759,"1,012","1,417","2,326"
2012,Ionview,932,745,860,999,"1,199"
2012,Islington/City Centre North,"1,134",882,"1,012","1,186","1,370"
2012,Islington/City Centre South,"1,087",754,**,"1,159",**
2012,Keelesdale-Eglinton West,835,684,777,906,**
2012,Kennedy Park,906,642,828,949,"1,095"
2012,Kensington-Chinatown,"1,271",961,"1,181","1,637",**
2012,Kingsview Village-The Westway,"1,105",749,972,"1,110","1,346"
2012,Kingsway South,**,**,**,**,**
2012,Lambton Baby Point,919,701,918,946,**
2012,L'Amoreaux/Steeles/Milliken,"1,062",**,950,"1,106","1,241"
2012,Lansing-Westgate,"1,221",**,"1,116","1,279","1,427"
2012,Lawrence Park North,"1,150",802,"1,026","1,430",**
2012,Lawrence Park South,"1,185",860,"1,122","1,487",**
2012,Leaside-Bennington,"1,118",792,997,"1,335","1,642"
2012,Little Italy/Trinity-Bellwoods,**,714,971,**,**
2012,Long Branch,831,620,779,910,**
2012,Malton,"1,049",**,863,"1,081","1,117"
2012,Maple Leaf,910,682,832,945,"1,148"
2012,Markham,"1,097",716,986,"1,149","1,518"
