Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +
2018,Princess-Rosethorn,**,**,**,**,**
2018,Rexdale-Kipling,"1,115",743,963,"1,105","1,287"
2018,Richmond Hill/Vaughan/King,"1,289","1,020","1,145","1,373","1,591"
2018,Riverdale,"1,199",853,"1,189","1,393",**
2018,Rockcliffe-Smythe,"1,159",890,"1,068","1,268",**
2018,Roncesvalles,"1,186",942,"1,103","1,465",**
2018,Rosedale,**,**,**,**,**
2018,Rouge,"1,162",**,**,"1,163","1,305"
2018,Rustic/Pelmo Park/Humberlea,"1,099",**,"1,019","1,135",**
2018,Scarborough Village,"1,241",931,"1,126","1,253","1,453"
2018,South Parkdale/King West,"1,087",925,"1,102","1,281",**
2018,St. Andrew-Windfields,"1,463",905,"1,287","1,491","1,735"
2018,Stonegate-Queensway,"1,112",906,"1,052","1,176","1,479"
2018,Tam O'Shanter-Sullivan,"1,233",925,"1,120","1,273","1,482"
2018,The Beaches,"1,241",898,"1,241","1,335",**
2018,Thorncliffe Park,"1,317",861,"1,128","1,408","1,811"
2018,University/Annex,"1,506","1,171","1,430","1,956",**
2018,Uxbridge,**,**,**,**,**
2018,Victoria Village,"1,225",891,"1,124","1,318","1,586"
2018,Waterfront Communities -The Island,"1,983",**,"1,841","2,256",**
2018,West Hill,"1,192","1,033","1,053","1,160","1,413"
2018,West Humber-Clairville,"1,250",858,"1,034","1,170","1,617"
2018,Westminster-Branson,"1,468","1,023","1,301","1,504","1,666"
2018,Weston,"1,156",826,"1,080","1,262","1,441"
2018,Wexford-Maryvale,"1,128",922,"1,060","1,204","1,321"
2018,Whitchurch/Stouffville,**,**,**,**,**
2018,Willowdale East/Newtonbrook East,"1,691",**,"1,465","1,861","2,223"
2018,Willowdale West/Newtonbrook West,"1,419",**,"1,292","1,492","1,696"
2018,Willowridge-Martingrove-Richview,"1,521",**,"1,158","1,558","1,782"
2018,Woburn,"1,201",916,"1,098","1,231","1,336"
2018,Woodbine Corridor/Greenwood-Coxwell,"1,116",810,"1,201",**,**
2018,Woodbine-Lumsden,"1,239",**,"1,116",**,**
2018,Wychwood,**,**,"1,196",**,**
2018,Yonge-Eglinton,"1,429","1,088","1,394","1,795",**
2018,Yonge-St. Clair,"1,626","1,180","1,412","1,966",**
2018,Yorkdale-Glen Park,"1,215",**,"1,100","1,276","1,518"
2018,Toronto,"1,370","1,081","1,261","1,468","1,647"
2017,Agincourt/Malvern,"1,320",**,**,**,"1,560"
2017,Ajax/Pickering,"1,193",**,969,"1,105","1,313"
2017,Alderwood,"1,288",**,997,"1,361",**
2017,Aurora,"1,369",**,"1,200","1,402",**
2017,Banbury-Don Mills/York Mills,"1,090",734,"1,055","1,161","1,245"
2017,Bathurst Manor,"1,290",845,"1,153","1,312","1,496"
2017,Bay Street Corridor,"2,112","1,498","1,900","2,782",**
2017,Bayview Village,"1,539",**,"1,370","1,614",**
2017,Bayview Woods-Steeles/Hillcrest Village,**,**,**,**,**
2017,Bedford Park-Nortown,"1,198",848,"1,049","1,355",**
2017,Beechborough-Greenbrook,"1,053",740,937,"1,176",**
2017,Bendale,"1,192",896,"1,067","1,165","1,325"
2017,Birchcliffe-Cliffside,"1,225",914,"1,117","1,358",**
2017,Black Creek,"1,184",931,"1,023","1,176","1,397"
2017,Bradford/West Gwillimbury/New Tecumseth,"1,057",876,938,"1,127",**
2017,Brampton (East),"1,340",**,"1,237","1,358","1,458"
2017,Brampton (West),"1,183",834,"1,059","1,219","1,421"
2017,Briar Hill-Belgravia,"1,130",762,"1,024","1,301",**
2017,Broadview North,"1,199",892,"1,155","1,375","1,427"
2017,Bronte,"1,471",**,"1,339","1,540",**
2017,Brookhaven-Amesbury,"1,180",818,"1,020","1,219","1,446"
2017,Cabbagetown-South St. James Town,"1,466","1,021","1,448","1,813",**
2017,Caledon,**,**,**,**,**
2017,Caledonia-Fairbank,"1,087",843,"1,000","1,224",**
2017,Casa Loma,"1,821","1,031","1,419","2,075","3,187"
2017,Churchill Meadows/Erin Mills,"1,391",978,"1,084","1,249","1,759"
2017,Church-Yonge Corridor,"1,489","1,171","1,486","1,947",**
2017,Clairlea-Birchmount,"1,036",880,961,"1,180",**
2017,Clanton Park,"1,140",885,"1,078","1,252",**
2017,Clarkson/Lorne Park,"1,237",905,"1,147","1,282","1,349"
2017,Cliffcrest,"1,146",**,"1,057","1,183","1,325"
2017,Cooksville,"1,183",925,"1,086","1,257","1,412"
2017,Crescent Town,"1,129",832,"1,037","1,264","1,487"
2017,Danforth Village-East York,"1,059",822,"1,010","1,199",**
2017,Don Valley Village/Pleasant View,"1,368",910,"1,214","1,359","1,560"
2017,Dorset Park,"1,124",883,989,"1,152","1,373"
