Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Whole_Toronto_AV
2018,Parkwoods-Donalda,1672,899,"1,199",**,"1,652",1370
2018,Playter Estates-Danforth,1275,973,"1,239","1,589",**,1370
2018,Port Credit,1239,908,"1,132","1,313","1,648",1370
2018,Princess-Rosethorn,**,**,**,**,**,1370
2018,Rexdale-Kipling,1115,743,963,"1,105","1,287",1370
2018,Richmond Hill/Vaughan/King,1289,"1,020","1,145","1,373","1,591",1370
2018,Riverdale,1199,853,"1,189","1,393",**,1370
2018,Rockcliffe-Smythe,1159,890,"1,068","1,268",**,1370
2018,Roncesvalles,1186,942,"1,103","1,465",**,1370
2018,Rosedale,**,**,**,**,**,1370
2018,Rouge,1162,**,**,"1,163","1,305",1370
2018,Rustic/Pelmo Park/Humberlea,1099,**,"1,019","1,135",**,1370
2018,Scarborough Village,1241,931,"1,126","1,253","1,453",1370
2018,South Parkdale/King West,1087,925,"1,102","1,281",**,1370
2018,St. Andrew-Windfields,1463,905,"1,287","1,491","1,735",1370
2018,Stonegate-Queensway,1112,906,"1,052","1,176","1,479",1370
2018,Tam O'Shanter-Sullivan,1233,925,"1,120","1,273","1,482",1370
2018,The Beaches,1241,898,"1,241","1,335",**,1370
2018,Thorncliffe Park,1317,861,"1,128","1,408","1,811",1370
2018,University/Annex,1506,"1,171","1,430","1,956",**,1370
2018,Uxbridge,**,**,**,**,**,1370
2018,Victoria Village,1225,891,"1,124","1,318","1,586",1370
2018,Waterfront Communities -The Island,1983,**,"1,841","2,256",**,1370
2018,West Hill,1192,"1,033","1,053","1,160","1,413",1370
2018,West Humber-Clairville,1250,858,"1,034","1,170","1,617",1370
2018,Westminster-Branson,1468,"1,023","1,301","1,504","1,666",1370
2018,Weston,1156,826,"1,080","1,262","1,441",1370
2018,Wexford-Maryvale,1128,922,"1,060","1,204","1,321",1370
2018,Whitchurch/Stouffville,**,**,**,**,**,1370
2018,Willowdale East/Newtonbrook East,1691,**,"1,465","1,861","2,223",1370
